Date , Hour , Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
07-12-2023,1,00:00 - 00:15,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28
00:15 - 00:30,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28,2549.28
00:30 - 00:45,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62,2549.62
00:45 - 01:00,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50,2549.50
2,01:00 - 01:15,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65
01:15 - 01:30,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66,2119.66
01:30 - 01:45,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65,2119.65
01:45 - 02:00,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48,2119.48
3,02:00 - 02:15,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38,2119.38
02:15 - 02:30,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35,2119.35
02:30 - 02:45,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33,2119.33
02:45 - 03:00,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32,2119.32
4,03:00 - 03:15,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29,2119.29
03:15 - 03:30,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25,2119.25
03:30 - 03:45,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24,2119.24
03:45 - 04:00,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27,2119.27
5,04:00 - 04:15,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58,2119.58
